"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"1","11-01-001-00001-000012",99,"000012",NA
"2","11-01-001-00001-000020",99,"000020",NA
"3","11-01-001-00001-000022",99,"000022",NA
"4","11-01-001-00001-000047",99,"000047",NA
"5","11-01-001-00001-000054",99,"000054",NA
"6","11-01-001-00001-000058",99,"000058",NA
"7","11-01-001-00001-000068",1981,"000068",4299
"8","11-01-001-00002-000174",99,"000174",NA
"9","11-01-001-00002-000211",99,"000211",NA
"10","11-01-002-00007-000623",99,"000623",NA
"11","11-01-002-00007-000690",99,"000690",NA
"12","11-01-002-00007-000695",1980,"000695",4798
"13","11-01-006-00022-001333",99,"001333",NA
"14","11-01-007-00027-001705",99,"001705",NA
"15","11-01-007-00030-001844",2011,"001844",4144
"16","11-01-007-00030-001848",99,"001848",NA
"17","11-01-007-00030-800084",2010,"800084",4783
"18","11-01-007-00031-001995",99,"001995",NA
"19","11-01-008-00032-002214",99,"002214",NA
"20","11-01-008-00035-002417",99,"002417",NA
"21","11-01-008-00035-800006",99,"800006",NA
"22","11-01-009-00042-002800",99,"002800",NA
"23","11-01-010-00043-800013",99,"800013",NA
"24","11-01-011-00045-002875",99,"002875",NA
"25","11-01-012-00048-002963",99,"002963",NA
"26","11-01-012-00051-003170",2014,"003170",3738
"27","11-01-012-00051-800026",99,"800026",NA
"28","11-01-013-00052-003396",99,"003396",NA
"29","11-01-013-00052-003430",99,"003430",NA
"30","11-01-014-00055-800033",99,"800033",NA
"31","11-01-014-00058-003854",99,"003854",NA
"32","11-01-015-00059-004010",99,"004010",NA
"33","11-01-015-00059-800040",99,"800040",NA
"34","11-01-015-00059-800044",99,"800044",NA
"35","11-01-015-00060-004042",99,"004042",NA
"36","11-01-016-00065-004481",99,"004481",NA
"37","11-01-018-00068-004668",99,"004668",NA
"38","11-01-019-00072-004955",99,"004955",NA
"39","11-01-021-00079-005668",99,"005668",NA
"40","11-01-021-00079-005964",99,"005964",NA
"41","11-01-022-00082-006472",2017,"006472",4262
"42","11-01-022-00082-006473",1997,"006473",4800
"43","11-01-022-00082-800077",1970,"800077",4799
"44","11-01-022-00082-800079",99,"800079",NA
"45","11-03-035-00201-027773",99,"027773",NA
"46","11-03-036-00206-029172",2013,"029172",8775
